Strain,Stress,Strain Rate,Temperature
0.06082,69.17698,0.01,250
0.06097,69.26824,0.01,250
0.06103,69.35929,0.01,250
0.06117,69.44956,0.01,250
0.0612,69.53977,0.01,250
0.06148,69.62922,0.01,250
0.0614,69.71878,0.01,250
0.06154,69.80779,0.01,250
0.06166,69.89667,0.01,250
0.06184,69.9851,0.01,250
0.06186,70.07368,0.01,250
0.06192,70.16164,0.01,250
0.0622,70.24961,0.01,250
0.06212,70.33693,0.01,250
0.06227,70.42407,0.01,250
0.06242,70.51073,0.01,250
0.06261,70.59679,0.01,250
0.06253,70.68215,0.01,250
0.06265,70.76725,0.01,250
0.06275,70.85165,0.01,250
0.06291,70.93594,0.01,250
0.06303,71.02026,0.01,250
0.06317,71.10439,0.01,250
0.06319,71.18801,0.01,250
0.0632,71.27126,0.01,250
0.0633,71.35381,0.01,250
0.06343,71.43598,0.01,250
0.06355,71.51782,0.01,250
0.06361,71.59901,0.01,250
0.06389,71.67953,0.01,250
0.06376,71.75988,0.01,250
0.06403,71.83981,0.01,250
0.0642,71.91967,0.01,250
0.06415,71.99959,0.01,250
0.06425,72.07898,0.01,250
0.06423,72.15777,0.01,250
0.06433,72.23643,0.01,250
0.06462,72.31447,0.01,250
0.06454,72.39299,0.01,250
0.06479,72.47146,0.01,250
0.06478,72.54996,0.01,250
0.06496,72.62805,0.01,250
0.06526,72.70653,0.01,250
0.06526,72.78448,0.01,250
0.06533,72.86284,0.01,250
0.06531,72.94066,0.01,250
0.06545,73.0184,0.01,250
0.06564,73.09552,0.01,250
0.06563,73.17308,0.01,250
0.06578,73.24986,0.01,250
0.06588,73.32711,0.01,250
0.06601,73.40356,0.01,250
0.06613,73.48026,0.01,250
0.06617,73.55604,0.01,250
0.06637,73.63229,0.01,250
0.06642,73.70727,0.01,250
0.06636,73.78291,0.01,250
0.06652,73.85759,0.01,250
0.06678,73.93343,0.01,250
0.06669,74.00867,0.01,250
0.06687,74.08473,0.01,250
0.06702,74.15976,0.01,250
0.06699,74.2359,0.01,250
0.06714,74.31136,0.01,250
0.06724,74.38738,0.01,250
0.06746,74.46204,0.01,250
0.06737,74.53735,0.01,250
0.06762,74.61126,0.01,250
0.0677,74.68591,0.01,250
0.06772,74.75945,0.01,250
0.06772,74.83414,0.01,250
0.068,74.90807,0.01,250
0.06823,74.98293,0.01,250
0.0683,75.05657,0.01,250
0.06825,75.13138,0.01,250
0.06829,75.20505,0.01,250
0.06849,75.27955,0.01,250
0.06856,75.35276,0.01,250
0.06875,75.42644,0.01,250
0.06882,75.49878,0.01,250
0.06883,75.5719,0.01,250
0.06914,75.64415,0.01,250
0.06913,75.71745,0.01,250
0.06913,75.7897,0.01,250
0.06933,75.86233,0.01,250
0.06926,75.93364,0.01,250
0.06946,76.00575,0.01,250
0.06949,76.0764,0.01,250
0.06964,76.14767,0.01,250
0.06973,76.21729,0.01,250
0.0699,76.28722,0.01,250
0.06997,76.35611,0.01,250
0.07005,76.42587,0.01,250
0.07014,76.49448,0.01,250
0.07025,76.56363,0.01,250
0.07035,76.63168,0.01,250
0.07054,76.69986,0.01,250
0.07076,76.76672,0.01,250
0.07072,76.83403,0.01,250
0.0707,76.90028,0.01,250
0.07078,76.968,0.01,250
0.07098,77.03553,0.01,250
0.07113,77.10486,0.01,250
0.07113,77.17447,0.01,250
0.07134,77.24555,0.01,250
0.07129,77.31621,0.01,250
0.07139,77.38784,0.01,250
0.07148,77.45844,0.01,250
0.07171,77.52904,0.01,250
0.07184,77.5979,0.01,250
0.07196,77.66678,0.01,250
0.07195,77.73369,0.01,250
0.07208,77.80124,0.01,250
0.07227,77.86746,0.01,250
0.07242,77.93408,0.01,250
0.07244,77.99922,0.01,250
0.07242,78.06461,0.01,250
0.07264,78.12867,0.01,250
0.07281,78.19371,0.01,250
0.07293,78.25819,0.01,250
0.07292,78.3245,0.01,250
0.07309,78.39045,0.01,250
0.07304,78.45825,0.01,250
0.07318,78.52573,0.01,250
0.07323,78.59543,0.01,250
0.07337,78.66475,0.01,250
0.07333,78.73468,0.01,250
0.07338,78.80318,0.01,250
0.07363,78.872,0.01,250
0.07365,78.93901,0.01,250
0.07385,79.00659,0.01,250
0.0738,79.07296,0.01,250
0.07405,79.14032,0.01,250
0.07413,79.20659,0.01,250
0.07428,79.27349,0.01,250
0.07438,79.33953,0.01,250
0.07444,79.40689,0.01,250
0.07463,79.47327,0.01,250
0.07471,79.53991,0.01,250
0.07477,79.60559,0.01,250
0.07487,79.67132,0.01,250
0.07497,79.73578,0.01,250
0.07505,79.80056,0.01,250
0.07523,79.86431,0.01,250
0.07535,79.92779,0.01,250
0.07545,79.98955,0.01,250
0.07548,80.05035,0.01,250
0.07563,80.10944,0.01,250
0.07576,80.16849,0.01,250
0.07575,80.22599,0.01,250
0.07579,80.2839,0.01,250
0.07586,80.34114,0.01,250
0.07619,80.39885,0.01,250
0.07621,80.45695,0.01,250
0.07626,80.51588,0.01,250
0.07638,80.57501,0.01,250
0.07642,80.63449,0.01,250
0.07657,80.6939,0.01,250
0.0767,80.75339,0.01,250
0.07677,80.81242,0.01,250
0.07688,80.87193,0.01,250
0.07702,80.93127,0.01,250
0.07698,80.99117,0.01,250
0.07713,81.05029,0.01,250
0.07728,81.10901,0.01,250
0.07734,81.16671,0.01,250
0.07739,81.22286,0.01,250
0.07744,81.2775,0.01,250
0.07765,81.33094,0.01,250
0.07759,81.38371,0.01,250
0.07784,81.43594,0.01,250
0.07799,81.4878,0.01,250
0.07817,81.53979,0.01,250
0.07824,81.59192,0.01,250
0.07826,81.64493,0.01,250
0.07836,81.69815,0.01,250
0.0784,81.75182,0.01,250
0.07875,81.80564,0.01,250
0.07871,81.85958,0.01,250
0.07871,81.91406,0.01,250
0.07878,81.96909,0.01,250
0.07891,82.02518,0.01,250
0.07907,82.08157,0.01,250
0.07911,82.13756,0.01,250
0.07918,82.19309,0.01,250
0.07945,82.24813,0.01,250
0.07939,82.30286,0.01,250
0.07955,82.35711,0.01,250
0.07956,82.41045,0.01,250
0.07985,82.46352,0.01,250
0.07977,82.51613,0.01,250
0.0799,82.56914,0.01,250
0.08001,82.6221,0.01,250
0.08017,82.67624,0.01,250
0.0803,82.73025,0.01,250
0.08044,82.78431,0.01,250
0.0805,82.8377,0.01,250
0.08046,82.89175,0.01,250
0.08061,82.94477,0.01,250
0.08075,82.99847,0.01,250
0.08085,83.05095,0.01,250
0.08104,83.10452,0.01,250
0.08099,83.15705,0.01,250
0.08115,83.21065,0.01,250
0.08134,83.26286,0.01,250
0.08138,83.31697,0.01,250
0.08141,83.36849,0.01,250
0.08155,83.42164,0.01,250
0.08159,83.47225,0.01,250
0.08174,83.52464,0.01,250
0.08188,83.57463,0.01,250
0.08195,83.62701,0.01,250
0.08196,83.67703,0.01,250
0.08213,83.73038,0.01,250
0.08209,83.78119,0.01,250
0.08232,83.83503,0.01,250
0.08243,83.88537,0.01,250
0.08247,83.93871,0.01,250
0.0827,83.98744,0.01,250
0.08276,84.03992,0.01,250
0.08286,84.08756,0.01,250
0.08282,84.13831,0.01,250
0.08298,84.18478,0.01,250
0.08308,84.2348,0.01,250
0.08328,84.28021,0.01,250
0.08331,84.32972,0.01,250
0.08337,84.37469,0.01,250
0.08338,84.42431,0.01,250
0.08356,84.46975,0.01,250
0.08374,84.52072,0.01,250
0.08376,84.5682,0.01,250
0.08394,84.62136,0.01,250
0.08399,84.67043,0.01,250
0.08414,84.72398,0.01,250
0.08438,84.77354,0.01,250
0.08443,84.82601,0.01,250
0.08455,84.87338,0.01,250
0.0846,84.92351,0.01,250
0.08468,84.96845,0.01,250
0.08479,85.01636,0.01,250
0.08485,85.06043,0.01,250
0.085,85.1088,0.01,250
0.08509,85.15455,0.01,250
0.08512,85.20608,0.01,250
0.08527,85.256,0.01,250
0.08532,85.30886,0.01,250
0.08543,85.36054,0.01,250
0.08567,85.41444,0.01,250
0.08582,85.46645,0.01,250
0.08571,85.51871,0.01,250
0.08584,85.56717,0.01,250
0.0858,85.61389,0.01,250
0.08595,85.65718,0.01,250
0.08616,85.69954,0.01,250
