Strain,Stress,Strain Rate,Temperature
0.24801,152.54127,0.001,250
0.24946,152.72998,0.001,250
0.25147,152.91869,0.001,250
0.25362,153.10739,0.001,250
0.25741,153.29605,0.001,250
0.26186,153.48471,0.001,250
0.26444,153.67341,0.001,250
0.26695,153.8621,0.001,250
0.27301,154.05071,0.001,250
0.27544,154.23941,0.001,250
0.27718,154.42812,0.001,250
0.27904,154.61683,0.001,250
0.2824,154.56952,0.001,250
0.28508,154.38082,0.001,250
0.28866,154.52802,0.001,250
0.29101,154.71672,0.001,250
0.29259,154.90543,0.001,250
0.29384,155.09414,0.001,250
0.29535,155.28285,0.001,250
0.29749,155.47155,0.001,250
0.30218,155.66018,0.001,250
0.30376,155.84889,0.001,250
0.30574,156.03759,0.001,250
0.30781,156.2263,0.001,250
0.30964,156.415,0.001,250
0.31293,156.39327,0.001,250
0.3145,156.20457,0.001,250
0.31606,156.01586,0.001,250
0.32021,156.02557,0.001,250
0.32157,156.21428,0.001,250
0.32306,156.40299,0.001,250
0.32641,156.59167,0.001,250
0.33114,156.76293,0.001,250
0.33552,156.94911,0.001,250
0.33934,157.03969,0.001,250
0.34682,157.02305,0.001,250
0.34819,156.83434,0.001,250
0.34943,156.64563,0.001,250
0.35072,156.45692,0.001,250
0.35335,156.36535,0.001,250
0.35485,156.55406,0.001,250
0.35598,156.74277,0.001,250
0.3572,156.93148,0.001,250
0.35841,157.12019,0.001,250
0.35988,157.3089,0.001,250
0.36337,157.2843,0.001,250
0.36605,157.09561,0.001,250
0.37089,157.18449,0.001,250
0.37321,157.3732,0.001,250
0.37964,157.25356,0.001,250
0.38158,157.06485,0.001,250
0.3837,156.87615,0.001,250
0.38642,156.68745,0.001,250
0.38919,156.49876,0.001,250
0.3936,156.43658,0.001,250
0.39549,156.62528,0.001,250
0.39856,156.63934,0.001,250
0.40064,156.45063,0.001,250
0.40437,156.26195,0.001,250
0.40955,156.17917,0.001,250
0.41312,156.36785,0.001,250
0.41535,156.18922,0.001,250
0.41797,156.00053,0.001,250
0.41993,155.81182,0.001,250
0.4215,155.62311,0.001,250
0.42269,155.4344,0.001,250
0.4239,155.24569,0.001,250
0.42566,155.05698,0.001,250
0.4277,154.86828,0.001,250
0.42908,154.67957,0.001,250
0.43053,154.49086,0.001,250
0.4326,154.30216,0.001,250
0.44042,154.45239,0.001,250
0.44418,154.39798,0.001,250
0.44612,154.20928,0.001,250
0.44818,154.02057,0.001,250
0.45155,153.8319,0.001,250
0.45234,153.64319,0.001,250
0.45322,153.45447,0.001,250
0.45413,153.26576,0.001,250
0.45537,153.07705,0.001,250
0.45709,152.88834,0.001,250
0.46071,152.71246,0.001,250
0.46355,152.90115,0.001,250
0.465,153.08986,0.001,250
0.46628,153.27857,0.001,250
0.46947,153.27399,0.001,250
0.47061,153.08527,0.001,250
0.47262,152.89657,0.001,250
0.47476,152.70787,0.001,250
0.47645,152.51916,0.001,250
0.48122,152.33055,0.001,250
0.48622,152.15421,0.001,250
0.48995,152.10434,0.001,250
0.49256,151.91564,0.001,250
0.49528,151.72695,0.001,250
0.50063,151.78025,0.001,250
0.50217,151.96896,0.001,250
0.50306,152.15767,0.001,250
0.50542,152.34637,0.001,250
0.51805,152.27995,0.001,250
0.52011,152.09124,0.001,250
0.5213,151.90253,0.001,250
0.52216,151.71382,0.001,250
